Symbol,Name
9962.KL,Gromutual Bhd
1058.KL,Manulife Holdings Bhd 
WWIB.OL,Wilhelm Wilhelmsen Holding ASA Series B
WWI.OL,Wilhelm Wilhelmsen Holding ASA
5997.T,Kyoritsu Air Tech Inc
MICE.JK,Multi Indocitra
SFSHF,Safestore Holdings Plc 
SAFE.L,Safestore Holdings Plc
7250.T,Pacific Industrial Co Ltd
4116.T,Dainichiseika Color & Chemicals Mfg. Co Ltd
5970.T,G-Tekt Corp
WTON.JK,Wijaya Karya Beton
BWLP,BW LPG Ltd
BWLP.IX,BW LPG Ltd
BWLPG.OL,BW LPG Ltd
6718.KL,Crescendo Corp Bhd
1113.HK,CK Asset Holdings Ltd
CNGKY,CK Asset Holdings Ltd ADR
CHKGF,CK Asset Holdings Ltd
0098.HK,Xingfa Aluminium Holdings Ltd
3944.T,Furubayashi Shiko Co Ltd
MAITHANALL.NS,Maithan Alloys Ltd
MAITHANALL.BO,Maithan Alloys Ltd
SRTG.JK,Saratoga Investama Sedaya
2663.HK,KPa-BM Holdings Ltd
EPRJF,Emperor Watch & Jewellery Ltd
6114.KL,MKH Bhd
200726.SZ,Lu Thai Textile Co Ltd B
2722.HK,Chongqing Machinery & Electric Co Ltd
5906.T,MK Seiko Co Ltd
0831.HK,Convenience Retail Asia Ltd
ALEXA.PA,Exacompta-Clairefontaine S.A.
5975.T,Topre Corp
ADRO.JK,Alamtri Resources Indonesia
PINXY,People`s Insurance Co (Group) of China Ltd ADR
0746.HK,Lee & Man Chemical Co Ltd
AAGRY,Astra Agro Lestari ADR
ADLRF,Alaris Equity Partners Income Trus
0116.HK,Chow Sang Sang Holdings International Ltd
OCCL.BO,Oriental Carbon & Chemicals Ltd. 
OCCL.NS,Oriental Carbon & Chemicals Ltd
BXP.L,Beximco Pharmaceuticals Ltd Gdr
AIAGF,Aurubis AG
NDA.DE,Aurubis AG
NDA.VI,Aurubis AG
1AUR.MI,Aurubis AG
CMHHY,China Merchants Ports Holdings Co Ltd ADR
LTLS.JK,Lautan Luas
7270.T,Subaru Corp
FUJHY,Subaru Corp ADR
9312.T,Keihin Co Ltd
MTLA.JK,Metropolitan Land
FUJHF,Subaru Corp
7229.KL,Favelle Favco Bhd
ASII.JK,Astra International
PTAIY,Astra International ADR
AALI.JK,Astra Agro Lestari
NRCA.JK,Nusa Raya Cipta
0552.HK,China Communications Services Corp Ltd
1827.T,Nakano Corp
AUTO.JK,Astra Otoparts
T12.SI,Tat Seng Packaging Group Ltd
6874.T,Kyoritsu Electric Corp
CUCSF,China Communications Services Corp Ltd
CAI.MI,Cairo Communication S.p.A.
CTRA.JK,Ciputra Development
INTP.JK,Indocement Tunggal Prakarsa
LKFLF,Luk Fook Holdings International Ltd
