Symbol,Name,Industry,Sector,Pre-Tax Profit Margin,Leverage Ratio,Current Ratio,Price / Book Ratio,Price / Cash Flow Ratio,Price / Free Cash Flow Ratio,Debt / Equity Ratio,Price / Sales Ratio,Last,Volume
EPRJF,Emperor Watch & Jewellery Ltd,Luxury Goods,Consumer Cyclical,6.51,1.14,7.67,0.06,1.74,0.41,0.08,0.06,0.0300,50000
TAPARIA.BO,Taparia Tools Ltd,Tools & Accessories,Industrials,16.96,1.28,4.38,0.08,0.22,,0.00,0.03,19.01,5000
0385.HK,Chinney Alliance Group Ltd,Engineering & Construction,Industrials,2.02,2.92,1.33,0.10,59.17,-2.97,0.48,0.03,0.385,3600
SWRBY,Swire Pacific Ltd B ADR,Conglomerates,Industrials,11.67,1.85,1.06,0.14,8.65,2.42,0.37,0.17,6.7000,217
0403.HK,Starlite Holdings Ltd,Packaging & Containers,Consumer Cyclical,1.68,1.45,1.89,0.15,,-2.04,0.07,0.11,0.19,618000
0087.HK,Swire Pacific Ltd B,Conglomerates,Industrials,11.68,1.85,1.06,0.15,8.65,2.49,0.37,0.18,10.68,612898
1786.HK,CRCC High-Tech Equipment Corp Ltd,Railroads,Industrials,2.71,1.52,2.27,0.17,3.59,4.13,0.00,0.34,0.73,93500
BMCLF,BAIC Motor Corp Ltd,Auto Manufacturers,Consumer Cyclical,11.25,2.87,1.07,0.19,0.74,0.90,0.19,0.06,0.2362,225
1292.HK,Changan Minsheng APLL Logistics Co Ltd,Integrated Freight & Logistics,Industrials,0.99,2.54,1.33,0.19,1.17,1.50,0.33,0.04,2.69,39000
2377.HK,China Boqi Environmental (Holding) Co Ltd,Pollution & Treatment Controls,Industrials,12.28,1.66,1.64,0.20,2.71,-18.42,0.14,0.31,0.77,22000
0050.HK,Hong Kong Ferry (Holdings) Co Ltd,Real Estate - Diversified,Real Estate,24.71,1.04,16.96,0.21,,-23.41,0.00,3.03,4.19,12000
2779.HK,China Xinhua Education Group Ltd,Education & Training Services,Consumer Defensive,45.74,1.30,1.60,0.21,1.89,2.08,0.16,1.23,0.54,249000
5020.KL,Glomac Bhd,Real Estate - Diversified,Real Estate,16.88,1.51,1.41,0.22,3.84,3.82,0.24,1.16,0.335,384000
1522.HK,BII Railway Transportation Technology Holdings Co Ltd,Information Technology Services,Technology,11.68,1.74,2.05,0.22,10.00,48.33,0.15,0.37,0.28,2148000
8281.HK,China Golden Classic Group Ltd,Household & Personal Products,Consumer Defensive,4.23,1.28,2.49,0.23,1.97,,0.03,0.36,0.064,288000
0320.HK,Computime Group Ltd,Electrical Equipment & Parts,Industrials,3.75,2.01,1.41,0.23,1.16,0.97,0.17,0.08,0.40,180000
1538.HK,Zhong Ao Home Group Ltd,Real Estate Services,Real Estate,9.10,1.87,1.63,0.23,1.83,2.26,0.05,0.14,0.31,200000
2298.HK,Cosmo Lady (China) Holdings Co Ltd,Apparel Manufacturing,Consumer Cyclical,6.50,1.82,1.61,0.24,1.98,3.80,0.32,0.16,0.235,708000
BCCMY,BAIC Motor Corp Ltd ADR,Auto Manufacturers,Consumer Cyclical,11.25,2.87,1.07,0.24,0.70,1.16,0.19,0.07,2.4400,620
3838.HK,China Starch Holdings Ltd,Packaged Foods,Consumer Defensive,7.02,1.69,2.05,0.24,0.76,0.93,0.36,0.09,0.179,6625000
3813.HK,Pou Sheng International Holdings Ltd,Footwear & Accessories,Consumer Cyclical,3.89,1.49,2.89,0.26,1.99,,0.17,0.12,0.475,3489000
0560.HK,Chu Kong Shipping Enterprises (Group) Co Ltd,Marine Shipping,Industrials,3.22,1.74,1.52,0.27,5.56,-7.45,0.12,0.31,0.75,14000
0771.HK,Automated Systems Holdings Ltd,Information Technology Services,Technology,3.29,1.44,1.99,0.27,5.17,5.74,0.00,0.26,0.73,76000
0057.HK,Chen Hsong Holdings Ltd,Specialty Industrial Machinery,Industrials,2.50,1.40,2.82,0.28,3.92,4.80,0.00,0.38,1.37,70000
3382.HK,Tianjin Port Development Holdings Ltd,Marine Shipping,Industrials,14.01,2.96,1.53,0.28,1.48,2.22,0.39,0.28,0.61,1420000
6830.HK,Huazhong In-Vehicle Holdings Co Ltd,Auto Parts,Consumer Cyclical,4.05,2.72,1.11,0.28,1.30,7.77,0.44,0.21,0.236,1030000
MICE.JK,Multi Indocitra,Household & Personal Products,Consumer Defensive,7.23,1.53,1.69,0.29,13.90,19.98,0.33,0.24,492.00,33300
0833.HK,Alltronics Holdings Ltd,Electronic Components,Technology,9.81,1.75,2.12,0.29,1.32,1.42,0.31,0.18,0.405,24000
1045.HK,ASatellite Holdings Ltd,Telecom Services,Communication Services,23.41,1.14,12.27,0.29,3.64,4.26,0.02,2.26,1.92,96000
5075.KL,Plenitude Bhd,Real Estate - Development,Real Estate,18.50,1.46,2.64,0.29,1.68,4.91,0.18,0.87,1.36,24200
GPRA.JK,Perdana Gapura Prima,Real Estate - Development,Real Estate,31.88,1.52,4.26,0.30,9.42,-24.19,0.18,0.76,94.00,25869200
0831.HK,Convenience Retail Asia Ltd,Grocery Stores,Consumer Defensive,2.79,1.91,0.74,0.31,0.83,0.97,0.37,0.13,0.249,12132000
6114.KL,MKH Bhd,Real Estate - Development,Real Estate,18.00,1.87,2.05,0.31,6.38,7.75,0.26,0.58,1.02,249500
POPR.MI,Poligrafici Printing S.p.A.,Publishing,Communication Services,8.72,1.50,3.83,0.31,4.53,,0.28,0.46,0.342,148000
DHUNINV.BO,Dhunseri Investments Ltd,Capital Markets,Financial Services,18.57,1.70,0.55,0.32,6.81,,0.28,1.39,1450.00,1171
200726.SZ,Lu Thai Textile Co Ltd B,Textile Manufacturing,Consumer Cyclical,11.77,1.47,3.39,0.32,4.20,3.12,0.31,0.52,4.04,412384
AKW.PA,AKWEL S.A.,Auto Parts,Consumer Cyclical,5.20,1.46,2.78,0.32,1.95,6.19,0.06,0.19,7.38,524
DHUNINV.NS,Dhunseri Investments Ltd,Capital Markets,Financial Services,18.57,1.70,0.55,0.33,6.94,,0.28,1.44,1459.80,1364
0912.HK,Suga International Holdings Ltd,Consumer Electronics,Technology,2.94,1.44,2.41,0.33,1.33,1.15,0.02,0.19,0.92,96000
ALEXA.PA,Exacompta-Clairefontaine S.A.,Business Equipment & Supplies,Industrials,5.67,1.85,2.49,0.33,1.33,2.47,0.41,0.21,157.00,16
1480.HK,Yan Tat Group Holdings Ltd,Electronic Components,Technology,8.85,1.51,3.82,0.33,1.94,2.44,0.08,0.43,1.03,12000
1508.HK,China Reinsurance (Group) Corp,Insurance - Reinsurance,Financial Services,,4.93,2.63,0.34,3.20,3.53,0.14,0.44,0.90,16888000
U06.SI,Singapore Land Group Ltd,Real Estate - Diversified,Real Estate,33.36,1.17,1.36,0.34,12.33,13.07,0.04,3.92,2.000,16600
5970.T,G-Tekt Corp,Auto Parts,Consumer Cyclical,4.52,1.59,1.84,0.34,1.80,,0.23,0.21,1642.00,43600
3954.T,Showa Paxxs Corp,Packaging & Containers,Consumer Cyclical,6.41,1.47,2.49,0.34,7.77,,0.05,0.35,1820.00,6100
7528.KL,DKLS Industries Bhd,Engineering & Construction,Industrials,8.30,1.13,7.26,0.35,3.53,3.86,0.04,0.90,1.76,3100
IRC.MI,IRCE S.p.A.,Electrical Equipment & Parts,Industrials,3.49,1.70,2.63,0.35,3.36,-3.00,0.40,0.13,1.97,9001
PMTYF,Playmates Toys Ltd,Leisure,Consumer Cyclical,10.11,1.19,6.26,0.35,,5.11,0.01,0.46,0.0460,9500
1460.HK,ICO Group Ltd,Information Technology Services,Technology,5.18,1.68,1.96,0.35,2.92,2.91,0.11,0.19,0.228,184000
5242.KL,Solid Automotive Bhd,Auto Parts,Consumer Cyclical,11.97,1.40,2.95,0.35,,-3.40,0.24,0.24,0.155,57000
MLIA.JK,Mulia Industrindo,Building Products & Equipment,Industrials,9.76,1.32,2.69,0.36,3.99,7.72,0.13,0.43,288.00,2387000
1058.KL,Manulife Holdings Bhd,Insurance - Life,Financial Services,,5.62,81.59,0.36,5.11,4.82,0.00,0.56,2.23,2200
C9Q.SI,Sinostar PEC Holdings Ltd,Oil & Gas E&P,Energy,5.90,1.59,1.22,0.37,1.17,1.23,0.27,0.09,0.139,50000
6339.T,Sintokogio Ltd,Specialty Industrial Machinery,Industrials,3.33,1.99,2.06,0.37,7.29,,0.42,0.31,823.00,57900
0922.HK,Anxian Yuan China Holdings Ltd,Personal Services,Consumer Cyclical,27.74,1.39,3.22,0.37,4.98,5.10,0.04,1.40,0.157,302260
METROGLOBL.BO,MetroGlobal Ltd,Specialty Chemicals,Basic Materials,5.44,1.04,15.51,0.38,6.49,,0.01,0.61,128.30,548
VINDHYATEL.BO,Vindhya Telelinks Ltd,Engineering & Construction,Industrials,5.72,1.74,1.66,0.38,3.64,,0.23,0.39,1342.00,550
AAGRY,Astra Agro Lestari ADR,Farm Products,Consumer Defensive,7.59,1.27,2.60,0.39,3.81,3.52,0.14,0.40,1.4200,3000
VINDHYATEL.NS,Vindhya Telelinks Ltd,Engineering & Construction,Industrials,5.72,1.74,1.66,0.39,3.50,,0.23,0.39,1318.50,10477
JKON.JK,Jaya Konstruksi Manggala Pratama,Conglomerates,Industrials,3.86,1.39,2.08,0.39,3.47,6.04,0.05,0.32,74.00,3595700
A26.SI,Sinarmas Land Ltd,Real Estate - Development,Real Estate,39.40,2.29,2.63,0.39,2.72,4.14,0.44,0.89,0.315,5086100
TOMA.PR,Toma a.s.,Conglomerates,Industrials,11.13,1.31,2.20,0.39,5.83,11.27,0.12,1.26,1350.00,14
6769.KL,JKG Land Bhd,Real Estate - Development,Real Estate,23.58,1.52,5.94,0.40,7.33,5.53,0.37,0.88,0.105,70100
2722.HK,Chongqing Machinery & Electric Co Ltd,Specialty Industrial Machinery,Industrials,2.94,2.18,1.52,0.40,3.65,5.17,0.48,0.35,0.92,6141169
5975.T,Topre Corp,Auto Parts,Consumer Cyclical,7.12,1.68,1.64,0.40,2.32,,0.25,0.24,1755.00,56200
7077.KL,Kerjaya Prospek Property Bhd,Real Estate - Development,Real Estate,26.64,1.54,3.04,0.40,3.63,5.82,0.29,1.61,0.43,197200
0116.HK,Chow Sang Sang Holdings International Ltd,Luxury Goods,Consumer Cyclical,4.86,1.58,2.63,0.40,2.86,3.25,0.48,0.24,7.60,476000
2317.HK,Vedan International (Holdings) Ltd,Packaged Foods,Consumer Defensive,5.74,1.22,3.82,0.41,3.52,4.29,0.09,0.32,0.63,100000
ISSP.JK,Steel Pipe Industry of Indonesia,Steel,Basic Materials,15.20,1.64,3.26,0.41,2.07,3.28,0.49,0.34,278.00,1593600
4116.T,Dainichiseika Color & Chemicals Mfg. Co Ltd,Specialty Chemicals,Basic Materials,5.67,1.57,2.21,0.41,5.83,,0.17,0.42,2990.00,37100
5906.T,MK Seiko Co Ltd,Consumer Electronics,Technology,9.01,1.76,1.89,0.41,2.69,,0.24,0.23,438.00,36800
5440.T,Kyoei Steel Ltd,Steel,Basic Materials,4.94,1.72,2.15,0.42,3.44,,0.41,0.26,1953.00,102800
1612.HK,Vincent Medical Holdings Ltd,Medical Devices,Healthcare,9.92,1.59,2.16,0.42,2.03,4.81,0.17,0.30,0.375,404000
AWC.SI,Brook Crompton Holdings Ltd,Electrical Equipment & Parts,Industrials,5.79,1.57,3.09,0.43,4.87,5.91,0.07,0.32,0.530,5500
