Symbol,Name,Industry,Sector,EPS,P / E,ROE,ROIC,ROA,Interest cover,PEG Ratio,Last,Avg Vol,Volume
EPRJF,Emperor Watch & Jewellery Ltd,Luxury Goods,Consumer Cyclical,0.00,7.50,4.98,5.75,4.38,14.11,0.68,0.0300,,50000
TAPARIA.BO,Taparia Tools Ltd,Tools & Accessories,Industrials,79.25,0.24,37.87,54.70,28.88,542,0.01,19.01,617.07,5000
0385.HK,Chinney Alliance Group Ltd,Engineering & Construction,Industrials,0.09,4.28,2.42,4.27,0.87,2.86,,0.385,94806,3600
SWRBY,Swire Pacific Ltd B ADR,Conglomerates,Industrials,1.97,3.30,1.64,1.29,0.94,3.55,3.13,6.7000,1394,217
0403.HK,Starlite Holdings Ltd,Packaging & Containers,Consumer Cyclical,0.04,4.75,2.82,2.08,1.95,3.98,,0.19,1557525,618000
0087.HK,Swire Pacific Ltd B,Conglomerates,Industrials,3.06,3.49,1.64,1.29,0.94,3.55,2.87,10.68,1000970,612898
1786.HK,CRCC High-Tech Equipment Corp Ltd,Railroads,Industrials,0.09,8.00,2.14,1.59,1.40,162,0.73,0.73,655551,93500
BMCLF,BAIC Motor Corp Ltd,Auto Manufacturers,Consumer Cyclical,0.04,5.91,3.73,13.71,1.25,49.97,4.65,0.2362,5148.81,225
1292.HK,Changan Minsheng APLL Logistics Co Ltd,Integrated Freight & Logistics,Industrials,0.39,6.67,2.94,2.97,1.13,5.87,0.37,2.69,91667,39000
2377.HK,China Boqi Environmental (Holding) Co Ltd,Pollution & Treatment Controls,Industrials,0.25,3.08,7.45,7.58,4.54,14.08,,0.77,47854,22000
0050.HK,Hong Kong Ferry (Holdings) Co Ltd,Real Estate - Diversified,Real Estate,0.46,9.11,2.34,2.11,2.24,257,0.69,4.19,76805,12000
2779.HK,China Xinhua Education Group Ltd,Education & Training Services,Consumer Defensive,0.22,2.41,9.14,6.93,7.20,22.29,,0.54,1328470,249000
5020.KL,Glomac Bhd,Real Estate - Diversified,Real Estate,0.04,8.38,2.37,1.58,1.50,2.05,2.80,0.335,137215,384000
