Symbol,Name
1556.HK,Chinney Kin Wing Holdings Ltd
1786.HK,CRCC High-Tech Equipment Corp Ltd
1979.HK,Ten Pao Group Holdings Ltd
3369.HK,Qinhuangdao Port Co Ltd
5276.KL,Dancomech Holdings Bhd
0327.HK,Pax Global Technology Ltd
PXGYF,Pax Global Technology Ltd
9466.T,Aidma Marketing Communication Corp
1272.HK,Datang Environment Industry Group Co Ltd
3969.HK,China Railway Signal & Communication Corp Ltd
0693.HK,Tan Chong International Ltd
T15.SI,Tan Chong International Ltd
0186.KL,Perak Transit Bhd
5940.T,Fujisash Co Ltd
