Symbol,Name
TAPARIA.BO,Taparia Tools Ltd
9571.KL,Mitrajaya Holdings Bhd
0385.HK,Chinney Alliance Group Ltd
SWRBY,Swire Pacific Ltd B ADR
0087.HK,Swire Pacific Ltd B
3838.HK,China Starch Holdings Ltd
1522.HK,BII Railway Transportation Technology Holdings... 
1538.HK,Zhong Ao Home Group Ltd
1008.HK,Litu Holdings Ltd
0833.HK,Alltronics Holdings Ltd
3662.HK,Starjoy Wellness & Travel Co Ltd
NMM,Navios Maritime Partners LP
NMM.IX,Navios Maritime Partners LP
7439.KL,Teck Guan Perdana Bhd
3813.HK,Pou Sheng International Holdings Ltd
1292.HK,Changan Minsheng APLL Logistics Co Ltd
MAIN.JK,Malindo Feedmill
6459.KL,MNRB Holdings Bhd
GPRA.JK,Perdana Gapura Prima
1568.HK,Sundart Holdings Ltd
5049.KL,Country View Bhd
6769.KL,JKG Land Bhd
AKW.PA,AKWEL S.A.
ISSP.JK,Steel Pipe Industry of Indonesia
0716.HK,Singamas Container Holdings Ltd
1731.HK,Prosperous Industrial (Holdings) Lt
S188.DE,SMT Scharf AG
1508.HK,China Reinsurance (Group) Corp
0032.HK,Cross-Harbour (Holdings) Ltd
7528.KL,DKLS Industries Bhd
KKGI.JK,Resource Alam Indonesia
AYN.SI,Global Testing Corp Ltd
G0I.SI,Nam Lee Pressed Metal Industries Ltd
2317.HK,Vedan International (Holdings) Ltd
AWC.SI,Brook Crompton Holdings Ltd
EXE.PA,Exel Industries S.A.
IRI.AX,Integrated Research Ltd
2168.T,Pasona Group
CICOY,COSCO SHIPPING Holdings Co Ltd ADR
CICOF,COSCO SHIPPING Holdings Co Ltd
YUEIY,Yue Yuen Industrial (Holdings) Ltd ADR
0551.HK,Yue Yuen Industrial (Holdings) Ltd
1919.HK,COSCO SHIPPING Holdings Co Ltd
9107.T,Kawasaki Kisen Kaisha Ltd
O08.SI,Ossia International Ltd
9101.T,Nippon Yusen K.K.
1752.HK,Top Education Group Ltd
BILN.L,Billington Holdings Plc
7579.KL,AWC Bhd
SNGSF,Singamas Container Holdings Ltd
SOCI.JK,Soechi Lines
5827.KL,Oriental Interest Bhd
PANS.JK,Panin Sekuritas
HNNA,Hennessy Advisors Inc
JAGRAN.NS,Jagran Prakashan Ltd
5644.T,Metalart Corp
5956.T,Toso Co Ltd
7208.T,Kanemitsu Corp
9110.T,NS United Kaiun Kaisha Ltd
1767.HK,TS Wonders Holding Ltd
NUS,Nu Skin Enterprises Inc Cl A
NUS.IX,Nu Skin Enterprises Inc Cl A
0104.HK,Asia Commercial Holdings Ltd
6998.T,Nippon Tungsten Co Ltd
EPMT.JK,Enseval Putera Megatrading
PCT.SI,PC Partner Group Ltd
WHITF,Whitehaven Coal Ltd
WHC.AX,Whitehaven Coal Ltd
SYYNY,Syn Prop e Tech S.A. Gdr
6150.T,Takeda Machinery Co Ltd
6776.T,Tensho Electric Industries Co Ltd
5753.T,Nippon Shindo Co Ltd
7252.KL,Teo Seng Capital Bhd
5410.T,Godo Steel Ltd
6342.T,Taihei Machinery Works Ltd
3689.HK,Guangdong Kanghua Healthcare Co Ltd
8291.T,Nissan Tokyo Sales Holdings Co Ltd
3374.T,Naigai Tec Corp
PCG.AX,Pengana Capital Group Ltd
1847.T,Ichiken Co Ltd
8147.T,Tomita Co Ltd
600668.SS,Zhejiang Jianfeng Group Co Ltd A
3020.T,Applied Co Ltd
9598.KL,Pintaras Jaya Bhd
3437.T,Tokuden Co Ltd
SATIA.NS,Satia Industries Ltd
SATIA.BO,Satia Industries Ltd
3297.T,Toubujyuhan Co Ltd
S56.SI,Samudera Shipping Line Ltd
0316.HK,Orient Overseas (International) Ltd
OROVY,Orient Overseas (International) Ltd ADR
OROVF,Orient Overseas (International) Ltd
NPNYY,Nippon Yusen K.K. ADR
JKON.JK,Jaya Konstruksi Manggala Pratama
1540.HK,Left Field Printing Group Ltd
0054.KL,Karyon Industries Bhd
1798.T,Moriya Corp 
4246.T,Daikyo Nishikawa Corp
RUCHIRA.BO,Ruchira Papers Ltd 
RUCHIRA.NS,Ruchira Papers Ltd
RALS.JK,Ramayana Lestari Sentosa
UNIC.JK,Unggul Indah Cahaya
LMG.MI,Lucisano Media Group S.p.A.
5697.T,Sanyu Co Ltd
9763.T,Marubeni Construction Material Lease Co Ltd
IMDA.PA,Immobiliere Dassault S.A.
7235.KL,Superlon Holdings Bhd
IGAR.JK,Champion Pacific Indonesia
9361.T,Fushiki Kairiku Unso Co Ltd
6336.T,Ishii Hyoki Co Ltd
0146.HK,Tai Ping Carpets International Ltd
1263.HK,PC Partner Group Ltd
MTU.PA,Manitou BF S.A.
PRAKASH.NS,Prakash Industries Ltd
KSE.BO,KSE Ltd
7811.KL,Sapura Industrial Bhd
SURYALA.BO,Suryalata Spinning Mills Ltd
0411.HK,Lam Soon (Hong Kong) Ltd
4243.T,Nix Inc
6292.T,Kawata Mfg. Co Ltd
9767.T,Nikken Kogaku Co Ltd
0640.HK,Infinity Development Holdings Co Ltd
PJAA.JK,Pembangunan Jaya Ancol
SMDR.JK,Samudera Indonesia
0529.HK,SIS International Holdings Ltd
9130.T,Kyoei Tanker Co Ltd
ALGGY,Alliance Global Group Inc ADR
GNCGY,Greencore Group Plc ADR
1001.HK,Hong Kong Shanghai Alliance Holdings Ltd
DLNG,Dynagas LNG Partners LP
DLNG.IX,Dynagas LNG Partners LP
1749.HK,Shanshan Brand Management Co Ltd
PIG.PA,Haulotte Group S.A.
SJY.SI,MeGroup Ltd
0096.HK,Yusei Holdings Ltd
IEI.V,Imperial Equities Inc
7230.KL,Tomei Consolidated Bhd
MSLOY,Mitsui O.S.K. Lines Ltd 
2678.HK,Texhong International Group Ltd
MAWANASUG.NS,Mawana Sugars Ltd
MAWANASUG.BO,Mawana Sugars Ltd
BUR.PA,Burelle S.A. 
BFU.SI,Tye Soon Ltd
IRC.MI,IRCE S.p.A.
4231.T,Tigers Polymer Corp
4092.T,Nippon Chemical Industrial Co Ltd
SEQ.AX,Sequoia Financial Group Ltd
4251.KL,`I-Bhd
MOS,Mosaic Co
MOS.IX,Mosaic Co
1MOS.MI,Mosaic Co
