Symbol,Name
TAPARIA.BO,Taparia Tools Ltd
9571.KL,Mitrajaya Holdings Bhd
0385.HK,Chinney Alliance Group Ltd
SWRBY,Swire Pacific Ltd B ADR
0087.HK,Swire Pacific Ltd B
3838.HK,China Starch Holdings Ltd
1522.HK,BII Railway Transportation Technology Holdings... 
1538.HK,Zhong Ao Home Group Ltd
1008.HK,Litu Holdings Ltd
0833.HK,Alltronics Holdings Ltd
3662.HK,Starjoy Wellness & Travel Co Ltd
NMM,Navios Maritime Partners LP
NMM.IX,Navios Maritime Partners LP
7439.KL,Teck Guan Perdana Bhd
3813.HK,Pou Sheng International Holdings Ltd
1292.HK,Changan Minsheng APLL Logistics Co Ltd
MAIN.JK,Malindo Feedmill
6459.KL,MNRB Holdings Bhd
GPRA.JK,Perdana Gapura Prima
1568.HK,Sundart Holdings Ltd
5049.KL,Country View Bhd
6769.KL,JKG Land Bhd
AKW.PA,AKWEL S.A.
ISSP.JK,Steel Pipe Industry of Indonesia
0716.HK,Singamas Container Holdings Ltd
1731.HK,Prosperous Industrial (Holdings) Lt
S188.DE,SMT Scharf AG
1508.HK,China Reinsurance (Group) Corp
0032.HK,Cross-Harbour (Holdings) Ltd
7528.KL,DKLS Industries Bhd
KKGI.JK,Resource Alam Indonesia
AYN.SI,Global Testing Corp Ltd
G0I.SI,Nam Lee Pressed Metal Industries Ltd
2317.HK,Vedan International (Holdings) Ltd
AWC.SI,Brook Crompton Holdings Ltd
EXE.PA,Exel Industries S.A.
IRI.AX,Integrated Research Ltd
