Symbol,Name,Industry,Sector,Altman Z-Score,Piotroski F-Score,Beneish M-Score,Price to Intrinsic Value,Price to Lynch Fair Value,Price to Graham Number,Shiller PE Ratio,Short Ratio,Last,Volume
TAPARIA.BO,Taparia Tools Ltd,Tools & Accessories,Industrials,4.03,7,-1.62,,0.01,0.02,0.31,,11.15,3
0898.HK,Multifield International Holdings Ltd,Real Estate Services,Real Estate,1.10,5,-2.51,,,0.16,1.58,,0.93,20000
0385.HK,Chinney Alliance Group Ltd,Engineering & Construction,Industrials,1.81,8,-2.66,,,0.10,1.72,,0.36,4800
0403.HK,Starlite Holdings Ltd,Packaging & Containers,Consumer Cyclical,2.23,8,-2.65,,,0.21,3.70,,0.186,2000
3699.HK,Everbright Grand China Assets Ltd,Real Estate Services,Real Estate,1.32,5,-2.41,,,0.23,3.50,,0.35,60000
SWRBY,Swire Pacific Ltd B ADR,Conglomerates,Industrials,0.89,6,-2.35,,,0.11,2.65,,6.9500,11208
0087.HK,Swire Pacific Ltd B,Conglomerates,Industrials,0.90,6,-2.35,,,0.11,2.62,,10.94,182500
1292.HK,Changan Minsheng APLL Logistics Co Ltd,Integrated Freight & Logistics,Industrials,2.34,5,-2.57,,0.62,0.25,3.60,,2.41,94000
6173.KL,Bina Darulaman Bhd,Engineering & Construction,Industrials,0.97,6,-2.35,0.19,,0.19,9.85,,0.30,100
POAHY,Porsche Automobil Holding SE ADR,Auto Manufacturers,Consumer Cyclical,2.31,4,-2.11,0.20,0.62,0.27,2.53,,3.8900,181970
2377.HK,China Boqi Environmental (Holding) Co Ltd,Pollution & Treatment Controls,Industrials,1.58,6,-2.21,,,0.18,3.00,,0.69,147631
6838.HK,Winox Holdings Ltd,Luxury Goods,Consumer Cyclical,2.93,6,-3.00,,,0.21,1.99,,0.34,86000
0050.HK,Hong Kong Ferry (Holdings) Co Ltd,Real Estate - Diversified,Real Estate,4.57,6,-2.59,,0.53,0.27,3.48,,4.14,32000
1522.HK,BII Railway Transportation Technology Holdings Co Ltd,Information Technology Services,Technology,1.41,6,-2.12,,0.16,0.21,5.40,,0.27,8000
3944.T,Furubayashi Shiko Co Ltd,Packaging & Containers,Consumer Cyclical,1.34,9,-2.80,,,0.37,6.17,,1820.00,200
GRRLF,Grange Resources Ltd,Steel,Basic Materials,3.00,6,-2.63,,0.07,0.15,2.85,,0.1339,3150
