Symbol,Name,Industry,Sector,EPS,P / E,ROE,ROIC,ROA,Interest cover,PEG Ratio,Last,Avg Vol,Volume
TAPARIA.BO,Taparia Tools Ltd,Tools & Accessories,Industrials,77.71,0.14,37.14,53.71,28.32,589,,11.15,,3
0898.HK,Multifield International Holdings Ltd,Real Estate Services,Real Estate,0.23,4.04,2.39,1.28,1.47,2.64,,0.93,36893,20000
0385.HK,Chinney Alliance Group Ltd,Engineering & Construction,Industrials,0.18,2.00,5.16,7.05,1.94,4.10,,0.36,36715,4800
0403.HK,Starlite Holdings Ltd,Packaging & Containers,Consumer Cyclical,0.04,4.65,2.82,2.08,1.95,3.98,,0.186,13811,2000
3699.HK,Everbright Grand China Assets Ltd,Real Estate Services,Real Estate,0.04,8.75,1.77,1.23,1.44,536,,0.35,41905,60000
SWRBY,Swire Pacific Ltd B ADR,Conglomerates,Industrials,12.70,0.55,10.85,2.15,6.32,4.26,,6.9500,1888.24,11208
0087.HK,Swire Pacific Ltd B,Conglomerates,Industrials,19.79,0.55,10.84,2.15,6.32,4.26,,10.94,430752,182500
1292.HK,Changan Minsheng APLL Logistics Co Ltd,Integrated Freight & Logistics,Industrials,0.39,6.18,2.85,3.05,1.08,4.76,0.61,2.41,52238,94000
6173.KL,Bina Darulaman Bhd,Engineering & Construction,Industrials,0.07,4.29,4.20,3.58,2.58,3.59,,0.30,55088,100
POAHY,Porsche Automobil Holding SE ADR,Auto Manufacturers,Consumer Cyclical,1.30,2.98,6.75,6.49,5.97,12.15,0.31,3.8900,349547,181970
2377.HK,China Boqi Environmental (Holding) Co Ltd,Pollution & Treatment Controls,Industrials,0.24,2.88,7.18,7.38,4.43,16.91,,0.69,98188,147631
6838.HK,Winox Holdings Ltd,Luxury Goods,Consumer Cyclical,0.07,4.86,4.56,4.71,3.82,11.59,,0.34,80552,86000
0050.HK,Hong Kong Ferry (Holdings) Co Ltd,Real Estate - Diversified,Real Estate,0.53,7.81,2.73,2.27,2.60,385,0.56,4.14,53742,32000
1522.HK,BII Railway Transportation Technology Holdings Co Ltd,Information Technology Services,Technology,0.09,3.00,6.88,6.34,4.04,19.93,0.16,0.27,682856,8000
3944.T,Furubayashi Shiko Co Ltd,Packaging & Containers,Consumer Cyclical,244,7.43,3.13,0.95,1.42,10.76,,1820.00,700,200
GRRLF,Grange Resources Ltd,Steel,Basic Materials,0.06,2.23,10.56,9.30,8.81,38.93,0.10,0.1339,28745,3150
WEGE.JK,Wijaya Karya Bangunan Gedung,Engineering & Construction,Industrials,7.56,7.94,2.82,5.65,1.38,4.75,,60.00,3145672,1156000
1538.HK,Zhong Ao Home Group Ltd,Real Estate Services,Real Estate,0.10,3.00,8.43,10.53,4.02,49.76,,0.30,409331,608000
0887.HK,Emperor Watch & Jewellery Ltd,Luxury Goods,Consumer Cyclical,0.04,4.30,5.87,6.50,5.21,20.16,0.30,0.172,2546199,840000
6830.HK,Huazhong In-Vehicle Holdings Co Ltd,Auto Parts,Consumer Cyclical,0.02,9.95,3.07,3.42,1.23,3.08,,0.199,737043,190000
5020.KL,Glomac Bhd,Real Estate - Diversified,Real Estate,0.04,9.75,2.53,1.74,1.57,2.05,3.05,0.39,140310,16000
9962.KL,Gromutual Bhd,Real Estate - Diversified,Real Estate,0.03,9.00,2.87,1.78,2.25,8.35,0.95,0.27,48947,19000
0320.HK,Computime Group Ltd,Consumer Electronics,Technology,0.09,4.44,5.63,7.52,2.76,2.26,0.27,0.40,237430,500000
